TransactionID,Date,Region,ProductCategory,Product,Quantity,UnitPrice,DiscountPct,SalesValue,CostValue,Profit
TX0001,08-11-2025,North,Electronics,Mobile,8,1815.93,15,12348.32,9715.33,2632.99
TX0002,21-11-2025,West,Apparel,T-Shirt,9,1516.55,15,11601.61,10716.7,884.91
TX0003,29-10-2025,North,Electronics,Camera,1,127.4,0,127.4,77.39,50.01
TX0004,15-10-2025,West,Apparel,T-Shirt,9,3872.61,10,31368.14,22644.64,8723.5
TX0005,12-11-2025,Kolkata,Home,Table,8,77.33,5,587.71,462.32,125.39
TX0006,08-10-2025,North,Apparel,Shoes,3,3548.94,0,10646.82,7127.7,3519.12
TX0007,21-10-2025,South,Grocery,Rice,3,3961.37,0,11884.11,8259.24,3624.87
TX0008,08-11-2025,West,Grocery,Salt,5,4635.19,0,23175.95,18133.63,5042.32
TX0009,19-10-2025,West,Electronics,Camera,9,4579.05,0,41211.45,30414.47,10796.98
TX0010,23-10-2025,North,Grocery,Oil,9,3135.33,15,23985.27,17421.46,6563.81
TX0011,11-10-2025,East,Grocery,Rice,2,522.28,0,1044.56,853.01,191.55
TX0012,11-10-2025,North,Grocery,Sugar,7,1589.36,15,9456.69,8995.29,461.4
TX0013,24-10-2025,Kolkata,Grocery,Salt,8,3346.32,0,26770.56,20547.58,6222.98
TX0014,22-11-2025,North,Beauty,Lotion,8,1409.87,10,10151.06,8823.32,1327.74
TX0015,05-11-2025,West,Home,Curtain,3,2387.46,0,7162.38,6069.26,1093.12
TX0016,09-11-2025,Kolkata,Apparel,Jacket,5,4859.97,0,24299.85,15971.37,8328.48
TX0017,24-10-2025,West,Grocery,Sugar,3,3815.89,0,11447.67,7058.03,4389.64
TX0018,03-10-2025,East,Grocery,Oil,7,3866.29,15,23004.43,19616.22,3388.21
TX0019,22-10-2025,West,Apparel,Jacket,7,250.15,0,1751.05,1158.59,592.46
TX0020,22-11-2025,West,Beauty,Soap,3,205.57,15,524.2,460.16,64.04
TX0021,02-10-2025,North,Home,Lamp,7,2403.08,0,16821.56,14287.08,2534.48
TX0022,24-10-2025,Kolkata,Beauty,Shampoo,4,4542.45,0,18169.8,14334.98,3834.82
TX0023,13-11-2025,Kolkata,Apparel,Jeans,7,3041.87,15,18099.13,15023.13,3076
TX0024,30-10-2025,West,Home,Curtain,4,4717.13,10,16981.67,16019.95,961.72
TX0025,07-11-2025,West,Grocery,Rice,7,1484.27,15,8831.41,8105.99,725.42
TX0026,02-10-2025,North,Grocery,Salt,6,4408.32,0,26449.92,17810.72,8639.2
TX0027,21-10-2025,South,Home,Chair,9,572.2,15,4377.33,4217.5,159.83
TX0028,02-11-2025,South,Beauty,Lotion,4,4468.17,10,16085.41,14801.38,1284.03
TX0029,12-10-2025,North,Beauty,Lotion,7,4485.65,0,31399.55,21774.91,9624.64
TX0030,22-10-2025,Kolkata,Beauty,Perfume,7,4538.8,10,28594.44,21637.7,6956.74
TX0031,13-11-2025,North,Electronics,Headphones,1,1178.28,0,1178.28,777.5,400.78
TX0032,25-10-2025,Kolkata,Beauty,Perfume,9,4099.17,0,36892.53,28886,8006.53
TX0033,18-11-2025,West,Beauty,Lotion,9,1558.67,0,14028.03,10730.57,3297.46
TX0034,27-10-2025,East,Apparel,Jacket,6,2578.2,10,13922.28,12655.48,1266.8
TX0035,11-11-2025,South,Apparel,Jeans,9,2449.91,15,18741.81,14947.79,3794.02
TX0036,28-10-2025,Kolkata,Home,Curtain,1,643.33,0,643.33,425.87,217.46
TX0037,16-10-2025,West,Grocery,Rice,8,4717.4,10,33965.28,27869.66,6095.62
TX0038,15-10-2025,Kolkata,Apparel,T-Shirt,6,1132.88,0,6797.28,5281.22,1516.06
TX0039,16-11-2025,Kolkata,Apparel,T-Shirt,8,3529.94,0,28239.52,23012.63,5226.89
TX0040,20-11-2025,North,Beauty,Lotion,1,371.22,0,371.22,284.82,86.4
TX0041,13-11-2025,West,Beauty,Lotion,4,1272.04,15,4324.94,4242.91,82.03
TX0042,24-11-2025,East,Beauty,Shampoo,7,2511.38,0,17579.66,13996.13,3583.53
TX0043,21-11-2025,South,Apparel,T-Shirt,1,783.03,0,783.03,598.82,184.21
TX0044,03-10-2025,Kolkata,Home,Curtain,8,232.59,5,1767.68,1518.27,249.41
TX0045,06-11-2025,Kolkata,Electronics,Mobile,1,4884.24,5,4640.03,3819.74,820.29
TX0046,20-11-2025,North,Apparel,Jeans,6,213.6,0,1281.6,940.79,340.81
TX0047,07-10-2025,Kolkata,Home,Table,1,3190.04,0,3190.04,2282.97,907.07
TX0048,21-10-2025,West,Home,Chair,2,2678.13,0,5356.26,4087.02,1269.24
TX0049,09-10-2025,East,Electronics,Mobile,6,1248.17,0,7489.02,4804.79,2684.23
TX0050,08-11-2025,North,Home,Table,4,450.22,5,1710.84,1486.83,224.01
TX0051,18-10-2025,East,Home,Chair,8,1226.31,5,9319.96,6536.73,2783.23
TX0052,04-10-2025,West,Grocery,Sugar,6,1870.53,15,9539.7,9419.95,119.75
TX0053,25-10-2025,Kolkata,Home,Table,4,4917.94,0,19671.76,13262.25,6409.51
TX0054,14-10-2025,Kolkata,Beauty,Perfume,6,2702.08,15,13780.61,10998.57,2782.04
TX0055,19-11-2025,West,Beauty,Shampoo,1,796.05,10,716.44,660.6,55.84
TX0056,09-10-2025,North,Apparel,T-Shirt,6,3494.27,10,18869.06,12999.27,5869.79
TX0057,26-10-2025,East,Electronics,Mobile,3,2974.92,15,7586.05,7277.74,308.31
TX0058,22-11-2025,West,Electronics,Laptop,4,132.11,10,475.6,395.61,79.99
TX0059,02-10-2025,West,Electronics,Camera,3,4057.03,15,10345.43,9078.64,1266.79
TX0060,20-10-2025,South,Grocery,Salt,4,3243.61,0,12974.44,9956.99,3017.45
TX0061,28-10-2025,South,Apparel,Jacket,4,4705.59,5,17881.24,11909.28,5971.96
TX0062,16-11-2025,West,Home,Lamp,8,1964.34,0,15714.72,9465.43,6249.29
TX0063,07-10-2025,West,Beauty,Perfume,2,4196.67,0,8393.34,6164.14,2229.2
TX0064,13-11-2025,North,Grocery,Oil,9,611.69,0,5505.21,4515.46,989.75
TX0065,08-10-2025,West,Grocery,Salt,7,2730.17,0,19111.19,13560.27,5550.92
TX0066,16-11-2025,South,Grocery,Rice,3,1181.32,15,3012.37,2850.32,162.05
TX0067,04-11-2025,Kolkata,Electronics,Laptop,9,2607.35,0,23466.15,14756.86,8709.29
TX0068,14-10-2025,North,Beauty,Lotion,1,1247.17,0,1247.17,836.15,411.02
TX0069,17-10-2025,South,Grocery,Oil,5,4507.07,15,19155.05,17094.4,2060.65
TX0070,05-11-2025,Kolkata,Beauty,Shampoo,7,1728.2,0,12097.4,9996.49,2100.91
TX0071,19-11-2025,South,Electronics,Camera,3,3516.77,0,10550.31,6446.47,4103.84
TX0072,09-11-2025,West,Apparel,Jacket,3,4288.81,0,12866.43,10104.11,2762.32
TX0073,04-10-2025,North,Home,Chair,6,3910.38,0,23462.28,14518.72,8943.56
TX0074,02-10-2025,North,Beauty,Perfume,8,4262.1,0,34096.8,25423.51,8673.29
TX0075,06-10-2025,Kolkata,Home,Table,1,850.06,0,850.06,575.55,274.51
TX0076,23-11-2025,Kolkata,Grocery,Oil,6,3361.49,15,17143.6,13359.55,3784.05
TX0077,11-11-2025,North,Grocery,Sugar,3,1892.8,10,5110.56,4471,639.56
TX0078,04-10-2025,South,Apparel,Jeans,9,3334.33,5,28508.52,18191.34,10317.18
TX0079,23-11-2025,Kolkata,Home,Table,2,846,0,1692,1082.54,609.46
TX0080,29-10-2025,East,Home,Chair,2,2453.79,5,4662.2,3217.45,1444.75
TX0081,18-10-2025,North,Grocery,Salt,3,3277.21,0,9831.63,6446.9,3384.73
TX0082,26-10-2025,South,Home,Lamp,9,920.83,0,8287.47,6763.31,1524.16
TX0083,13-11-2025,West,Grocery,Sugar,4,1224.38,15,4162.89,4139.81,23.08
TX0084,03-11-2025,South,Grocery,Rice,5,935.17,0,4675.85,3830.74,845.11
TX0085,10-10-2025,East,Apparel,Jacket,8,3265.68,0,26125.44,16383.28,9742.16
TX0086,05-11-2025,West,Grocery,Salt,7,3618.65,5,24064.02,19037.23,5026.79
TX0087,14-10-2025,Kolkata,Electronics,Camera,1,2735.57,10,2462.01,1771.34,690.67
TX0088,31-10-2025,West,Home,Chair,3,3199.85,10,8639.59,7981.01,658.58
TX0089,17-11-2025,South,Apparel,Jacket,6,1257.75,5,7169.17,4659.91,2509.26
TX0090,15-10-2025,South,Beauty,Soap,6,4895.52,15,24967.15,23851.09,1116.06
TX0091,08-10-2025,East,Beauty,Soap,3,4465.63,15,11387.36,9405.93,1981.43
TX0092,14-10-2025,East,Grocery,Oil,2,1782.89,0,3565.78,2514.27,1051.51
TX0093,23-10-2025,Kolkata,Apparel,Jacket,1,2905.67,5,2760.39,2141.43,618.96
TX0094,09-11-2025,West,Grocery,Salt,1,1016.45,0,1016.45,719.11,297.34
TX0095,21-10-2025,North,Beauty,Soap,3,2881.42,5,8212.05,6141.28,2070.77
TX0096,16-10-2025,Kolkata,Beauty,Shampoo,1,265.84,15,225.96,170.78,55.18
TX0097,14-11-2025,North,Grocery,Salt,5,4423.3,0,22116.5,17795.07,4321.43
TX0098,18-10-2025,Kolkata,Grocery,Oil,9,4767.71,0,42909.39,27326.35,15583.04
TX0099,16-11-2025,Kolkata,Apparel,Shoes,1,2786.19,10,2507.57,2263.6,243.97
TX0100,22-11-2025,East,Home,Curtain,3,4902.64,15,12501.73,10941.48,1560.25
